variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"a_fit[31,42,1]",46.33193586548088,57.19845,45.808936742036195,67.79344173,-2.0496124999999998e-14,98.73481499999998,1.7613851840574164,6.035108805319717,47.2885608003145
"a_fit[32,42,1]",34.46631982326081,27.891550000000002,33.920954492069974,41.35201203001291,5.03812500000003e-15,73.22050499999999,1.7562392994623652,6.0334034727841175,55.41390175060626
"a_fit[1,43,1]",29.4661862136,9.56455,28.74775976084262,14.13193978728,0.24748885000000004,68.26237499999999,1.9241117614275642,5.592539341728617,39.57693298525901
"a_fit[2,43,1]",36.077254310676544,36.2111,35.46844130748065,53.68501417736101,-5.226051999999997e-14,76.85838999999999,1.7459513150676134,6.064833931943112,62.20375973963774
"a_fit[3,43,1]",35.649671614199875,27.446751,35.70598674152698,40.69255271021114,1.880655e-4,75.341755,1.735845606372649,6.097150517721076,94.01670599188635
"a_fit[4,43,1]",44.308815100945694,38.020854500000006,44.376772420637344,56.36971888196144,1.4719920000000026e-14,93.031865,1.7735310056434932,5.984797613114098,62.34177555016989
"a_fit[5,43,1]",21.026367745967264,17.383357649999997,21.075832166091676,25.77256605226348,-7.8420725e-13,44.531544999999994,1.7519912409420868,6.068463964317221,80.32012768102693
"a_fit[6,43,1]",41.438206914628715,40.51635,41.369271948074115,60.06954045382362,-1.1710154999999975e-14,88.105215,1.7548552868009832,6.054695065666608,69.72980041217711
"a_fit[7,43,1]",22.68390025839612,13.39363565,23.027089566200168,19.8574042147022,-6.61788999999999e-16,52.512855,1.9378223353109298,5.551648486720378,33.22921229132067
"a_fit[8,43,1]",41.134519864936934,33.218061678249995,41.25730697057056,49.249098244504964,-2.7372165e-11,88.00953499999999,1.7800770929530148,5.951634705966543,52.073937879044664
"a_fit[9,43,1]",24.004653857265,18.040722,23.956924449735663,26.745545245124998,0.02600097,51.278515000000006,1.7687427942101814,5.982189555876608,88.61416532216118
"a_fit[10,43,1]",39.003913981648594,45.375299999999996,38.36259310953635,58.97182347,-1.777130999999999e-14,83.15129,1.7801364628004495,5.9505634921306045,42.057149801201604
"a_fit[11,43,1]",20.435602391444426,1.5024599999999998e-4,35.440153036078655,2.2236843706559996e-4,1.2413695000000003e-7,84.71827499999999,1.7181681734591885,6.162773879210486,31.102707984653925
"a_fit[12,43,1]",37.089992018,13.442,33.77475790957815,19.296530481899996,1.473135,77.444245,1.807375945233902,5.8648782962025905,57.73241723458087
"a_fit[13,43,1]",37.107926380473344,27.437607500000002,37.24460888063008,40.678995418838035,2.5908880000000004e-4,79.8104,1.7552790307626462,6.0227289040694165,125.06668047656686
"a_fit[14,43,1]",21.975088592774018,16.0468385,22.141317505491894,23.791042470032274,3.321731500000001e-5,48.859024999999995,1.829558326345381,5.806436774000521,46.92949884021686
"a_fit[15,43,1]",30.211955159920898,25.341174549999998,30.273161758860258,37.570825387985934,1.8378105e-8,63.79737,1.7494655100123226,6.03739858796929,66.23289964886483
"a_fit[16,43,1]",29.997182292117007,18.19155,29.736553810279247,26.970792030167917,1.0731311500000068e-15,64.19232000000001,1.734176444353827,6.091118174301044,141.42323167842665
"a_fit[17,43,1]",43.85821687230381,48.94185,42.98352132493392,68.47465195199999,-1.7496624999999964e-13,94.27752999999998,1.7947318114302275,5.912059047899698,38.932646334425954
"a_fit[18,43,1]",38.61617012160348,42.7468,37.65385632692222,59.936491986,-1.5310759999999894e-16,83.35524,1.7326428926227493,6.141675548967539,103.31880898937422
